DR,Date,Month,Year,Block,Type,Week_Num,Number,Street,Address,Lat,Lon,Type_Num
1517473,2015-12-03,12,2015,2600 Blk ANACAPA                                                                         ,Garage,49,2600,ANACAPA,"2600 ANACAPA, Irvine, CA",33.7259906,-117.7829,2
1517487,2015-12-03,12,2015,0 Blk SOLANA                                                                          ,Garage,49,0,SOLANA,"0 SOLANA, Irvine, CA",33.6509805,-117.8461743,2
1517453,2015-12-03,12,2015,4200 Blk TRABUCO RD                                                                      ,Vehicle,49,4200,TRABUCO RD,"4200 TRABUCO RD, Irvine, CA",33.707843200000006,-117.7794595,0
1517498,2015-12-04,12,2015,100 Blk NIGHTMIST                                                                       ,Vehicle,49,100,NIGHTMIST,"100 NIGHTMIST, Irvine, CA",33.6808355,-117.75431100000002,0
1517512,2015-12-04,12,2015,14200 Blk ESPERANZA                                                                       ,Garage,49,14200,ESPERANZA,"14200 ESPERANZA, Irvine, CA",33.6965139,-117.73949679999998,2
1517587,2015-12-05,12,2015,0 Blk SUMMERSTONE                                                                     ,Vehicle,49,0,SUMMERSTONE,"0 SUMMERSTONE, Irvine, CA",33.6716731,-117.81801770000001,0
1517570,2015-12-05,12,2015,17400 Blk WAYNE AVE                                                                       ,Vehicle,49,17400,WAYNE AVE,"17400 WAYNE AVE, Irvine, CA",33.673007399999996,-117.82148500000001,0
1517586,2015-12-05,12,2015,100 Blk TOPAZ                                                                           ,Garage,49,100,TOPAZ,"100 TOPAZ, Irvine, CA",33.7305651,-117.7784621,2
1517577,2015-12-05,12,2015,0 Blk ACROPOLIS AISLE                                                                 ,Garage,49,0,ACROPOLIS AISLE,"0 ACROPOLIS AISLE, Irvine, CA",33.6824288,-117.8264388,2
1517582,2015-12-05,12,2015,0 Blk SUNNYHILL                                                                       ,Vehicle,49,0,SUNNYHILL,"0 SUNNYHILL, Irvine, CA",33.6335349,-117.8047514,0
1517585,2015-12-05,12,2015,0 Blk MONTICELLO                                                                      ,Garage,49,0,MONTICELLO,"0 MONTICELLO, Irvine, CA",33.710323700000004,-117.7638128,2
1517623,2015-12-06,12,2015,1700 Blk TERRA BELLA                                                                     ,Garage,49,1700,TERRA BELLA,"1700 TERRA BELLA, Irvine, CA",33.7292269,-117.7744633,2
1517636,2015-12-06,12,2015,0 Blk ALTEZZA                                                                         ,Garage,49,0,ALTEZZA,"0 ALTEZZA, Irvine, CA",33.6926751,-117.8075811,2
1517614,2015-12-06,12,2015,0 Blk SUMMERSTONE                                                                     ,Vehicle,49,0,SUMMERSTONE,"0 SUMMERSTONE, Irvine, CA",33.6716731,-117.81801770000001,0
1517638,2015-12-06,12,2015,14900 Blk CRYSTAL CIR                                                                     ,Vehicle,49,14900,CRYSTAL CIR,"14900 CRYSTAL CIR, Irvine, CA",33.6986408,-117.7904225,0
1517628,2015-12-06,12,2015,0 Blk GLENOAKS                                                                        ,Vehicle,49,0,GLENOAKS,"0 GLENOAKS, Irvine, CA",33.6620859,-117.7835495,0
1517615,2015-12-06,12,2015,0 Blk HAWK                                                                            ,Vehicle,49,0,HAWK,"0 HAWK, Irvine, CA",33.662808500000004,-117.78346440000001,0
1517665,2015-12-07,12,2015,0 Blk POINSETTIA                                                                      ,Garage,50,0,POINSETTIA,"0 POINSETTIA, Irvine, CA",33.6963953,-117.7945067,2
1517704,2015-12-07,12,2015,0 Blk HALFMOON                                                                        ,Vehicle,50,0,HALFMOON,"0 HALFMOON, Irvine, CA",33.6714156,-117.81675120000001,0
1517727,2015-12-08,12,2015,0 Blk FARRAGUT                                                                        ,Vehicle,50,0,FARRAGUT,"0 FARRAGUT, Irvine, CA",33.7083321,-117.7664798,0
1517743,2015-12-08,12,2015,400 Blk E YALE LOOP                                                                     ,Vehicle,50,400,E YALE LOOP,"400 E YALE LOOP, Irvine, CA",33.66861280000001,-117.7940687,0
1517766,2015-12-08,12,2015,0 Blk CANOPY,Package,50,0,CANOPY,"0 CANOPY, Irvine, CA",33.6454678,-117.7762344,1
1517814,2015-12-09,12,2015,0 Blk FARRAGUT                                                                        ,Vehicle,50,0,FARRAGUT,"0 FARRAGUT, Irvine, CA",33.7083321,-117.7664798,0
1517816,2015-12-09,12,2015,0 Blk WESTON,Package,50,0,WESTON,"0 WESTON, Irvine, CA",33.7096015,-117.73846019999999,1
1517867,2015-12-10,12,2015,0 Blk GINGERWOOD                                                                      ,Vehicle,50,0,GINGERWOOD,"0 GINGERWOOD, Irvine, CA",33.6268729,-117.82787759999998,0
1517868,2015-12-10,12,2015,100 Blk ROSE ARCH,Package,50,100,ROSE ARCH,"100 ROSE ARCH, Irvine, CA",33.6839747,-117.76218459999998,1
